,Year,Banking Crisis ,Systemic Crisis,exch_usd,Domestic Debt,Sovereign External debt2,GDP_Weighted_default,Independence,Currency Crises,Inflation Crises
61,74.0,0.0,1.0,-0.28081066156879503,0.0,0.0,0.0,1,0,0.0
62,75.0,0.0,0.0,-0.28081065977807806,0.0,0.0,0.0,1,0,0.0
63,76.0,0.0,0.0,-0.28081064103369063,0.0,0.0,0.0,1,0,1.0
64,77.0,0.0,0.0,-0.2808106508884477,0.0,0.0,0.0,1,0,0.0
65,78.0,0.0,0.0,-0.2808106543942993,0.0,0.0,0.0,1,0,0.0
66,79.0,0.0,0.0,-0.2808106545454637,0.0,0.0,0.0,1,0,0.0
67,80.0,0.0,0.0,-0.2808106562605984,0.0,0.0,0.0,1,0,0.0
68,81.0,0.0,0.0,-0.2808106550396551,0.0,0.0,0.0,1,0,0.0
69,82.0,0.0,0.0,-0.2808106544582535,0.0,0.0,0.0,1,0,0.0
70,83.0,0.0,0.0,-0.2808106525977684,0.0,0.0,0.0,1,0,0.0
71,84.0,0.0,0.0,-0.2808106497489006,0.0,0.0,0.0,1,0,0.0
72,85.0,0.0,0.0,-0.2808106478884154,0.0,0.0,0.0,1,0,0.0
73,86.0,0.0,0.0,-0.28081064649305165,0.0,0.0,0.0,1,0,0.0
74,87.0,0.0,0.0,-0.2808106457953697,0.0,0.0,0.0,1,0,0.0
75,88.0,0.0,0.0,-0.2808106538768519,0.0,0.0,0.0,1,0,0.0
76,89.0,0.0,0.0,-0.28081065678385986,0.0,0.0,0.0,1,0,0.0
77,90.0,0.0,0.0,-0.2808106602722695,0.0,0.0,0.0,1,0,0.0
78,91.0,0.0,0.0,-0.28081065614431816,0.0,0.0,0.0,1,0,0.0
79,92.0,0.0,0.0,-0.2808106543129031,0.0,0.0,0.0,1,0,0.0
80,93.0,0.0,0.0,-0.2808106486442375,0.0,0.0,0.0,1,0,0.0
81,94.0,0.0,0.0,-0.2808106504465825,0.0,0.0,0.0,1,0,0.0
82,95.0,0.0,0.0,-0.28081065364429125,0.0,0.0,0.0,1,0,0.0
83,96.0,0.0,0.0,-0.2808106545745338,0.0,0.0,0.0,1,0,0.0
84,97.0,0.0,0.0,-0.2808106538768519,0.0,0.0,0.0,1,0,0.0
85,98.0,0.0,0.0,-0.2808106528884692,0.0,0.0,0.0,1,0,0.0
86,99.0,0.0,0.0,-0.28081065262683846,0.0,0.0,0.0,1,0,0.0
87,100.0,0.0,0.0,-0.28081065381871173,0.0,0.0,0.0,1,0,0.0
88,101.0,0.0,0.0,-0.2808106548943047,0.0,0.0,0.0,1,0,0.0
89,102.0,0.0,0.0,-0.2808106548943047,0.0,0.0,0.0,1,0,0.0
90,103.0,0.0,0.0,-0.2808106540222023,0.0,0.0,0.0,1,0,0.0
91,104.0,0.0,0.0,-0.2808106546908141,0.0,0.0,0.0,1,0,0.0
92,105.0,0.0,0.0,-0.28081065376057157,0.0,0.0,0.0,1,0,0.0
93,106.0,0.0,0.0,-0.2808106525977684,0.0,0.0,0.0,1,0,0.0
94,107.0,0.0,0.0,-0.2808106528593991,0.0,0.0,0.0,1,0,0.0
95,108.0,0.0,0.0,-0.28081065448732356,0.0,0.0,0.0,1,0,0.0
96,109.0,0.0,0.0,-0.28081065381871173,0.0,0.0,0.0,1,0,0.0
97,110.0,0.0,0.0,-0.28081065390592197,0.0,0.0,0.0,1,0,0.0
98,111.0,0.0,0.0,-0.2808106536152212,0.0,0.0,0.0,1,0,0.0
99,112.0,0.0,0.0,-0.28081065294660934,0.0,0.0,0.0,1,0,0.0
100,113.0,0.0,0.0,-0.28081065345533573,0.0,0.0,0.0,1,0,0.0
