,Systemic Crisis,Banking Crisis,Gold Standard,exch_usd,Domestic_Debt_In_Default,Sovereign External Debt Default,Weighted GDP,Inflation,Independence,Currency Crises,Inflation Crises
5175,0.0,0.0,0.0,-0.2970050372251444,0.0,1.0,0.27,-0.2828840532000598,1.0,0.0,0.0
1999,0.0,0.0,1.0,-0.3078976889362196,0.0,0.0,0.0,-0.04432912920811268,1.0,0.0,0.0
5495,0.0,0.0,0.0,-0.28838334980700026,0.0,0.0,0.0,-0.26779430809691124,1.0,0.0,0.0
5398,0.0,0.0,0.0,-0.29067206249364996,1.0,1.0,8.5,1.5101989257950215,1.0,0.0,1.0
4256,0.0,0.0,0.0,-0.29879091054195583,0.0,0.0,0.0,-0.20215438021545665,1.0,0.0,0.0
1896,0.0,0.0,0.0,-0.16164440245690245,0.0,0.0,0.0,-0.24841792078976904,1.0,0.0,0.0
296,0.0,0.0,0.0,-0.3098770894159502,0.0,1.0,1.06,0.08520639012901517,1.0,1.0,0.0
1020,1.0,1.0,0.0,-0.28161405710253107,0.0,0.0,0.0,-0.2393342228419316,1.0,1.0,0.0
3911,0.0,0.0,0.0,-0.27497817381632517,0.0,0.0,0.0,-0.1646032810665281,1.0,0.0,0.0
6439,0.0,0.0,1.0,-0.2619983145584653,0.0,0.0,0.0,-0.27494342989372644,1.0,1.0,0.0
3379,0.0,0.0,0.0,-0.30987708941608116,0.0,0.0,0.0,0.4123368785364371,1.0,1.0,1.0
1870,0.0,0.0,0.0,0.043736926414604936,0.0,0.0,0.0,-0.01966116449965194,1.0,0.0,0.0
5289,0.0,1.0,0.0,-0.3017375793834546,0.0,1.0,0.0,-0.24263633570690385,1.0,0.0,0.0
2907,0.0,0.0,0.0,-0.2999949102953514,0.0,0.0,0.0,-0.249472685732754,1.0,0.0,0.0
697,0.0,0.0,0.0,-0.3020463513649946,0.0,0.0,0.0,-0.18340468619146394,1.0,0.0,0.0
2460,0.0,0.0,0.0,-0.3096706950120434,0.0,0.0,0.0,-0.3125682805662862,1.0,1.0,0.0
2052,0.0,0.0,0.0,-0.30640943275914945,0.0,0.0,0.0,-0.22499864267928993,1.0,0.0,0.0
5600,0.0,0.0,0.0,-0.30130627545610145,0.0,0.0,0.0,-0.0057568686838677776,1.0,0.0,0.0
4846,0.0,0.0,0.0,-0.24562316070884252,1.0,1.0,0.16,-0.023663916496612567,1.0,0.0,0.0
3122,0.0,0.0,0.0,-0.28976883132111203,0.0,0.0,0.0,-0.43681570314266494,0.0,0.0,0.0
4526,1.0,1.0,0.0,-0.23959799609290844,0.0,1.0,0.0,-0.16297286283944806,1.0,0.0,0.0
5927,0.0,0.0,0.0,-0.29353888265944045,0.0,0.0,0.0,-0.21751134703490177,1.0,0.0,0.0
6402,0.0,0.0,0.0,-0.2622061818878037,0.0,0.0,0.0,-0.24233960816806427,1.0,0.0,0.0
168,0.0,0.0,0.0,-0.30987708941608083,0.0,1.0,1.06,-0.14728588887116734,1.0,0.0,0.0
4676,0.0,0.0,0.0,-0.26086148092824607,0.0,0.0,0.0,-0.24591149345867824,1.0,0.0,0.0
2698,0.0,0.0,0.0,-0.21105529810996204,0.0,1.0,8.68,-0.1427981583323988,1.0,1.0,0.0
247,1.0,1.0,1.0,-0.30987708941607883,0.0,0.0,0.0,-0.2393342228419316,1.0,0.0,0.0
3808,0.0,0.0,0.0,-0.23928967210403332,0.0,0.0,0.0,-0.24203969672249123,1.0,0.0,0.0
6190,0.0,0.0,1.0,-0.30785618378387103,0.0,0.0,0.0,-0.2393342228419316,1.0,0.0,0.0
2165,0.0,0.0,0.0,-0.22335861112757388,1.0,0.0,0.0,-0.03862767526783637,1.0,0.0,0.0
307,0.0,0.0,0.0,-0.30987708941509495,0.0,0.0,0.0,0.2526546191709933,1.0,0.0,1.0
3717,0.0,0.0,0.0,0.1842318671145145,1.0,1.0,2.62,10.079768480196384,1.0,1.0,1.0
5609,0.0,0.0,0.0,-0.28460297392788164,0.0,1.0,0.36,0.0950253429419159,1.0,1.0,0.0
1525,0.0,0.0,0.0,-0.18318755296163644,0.0,0.0,0.0,0.043088213239220345,1.0,0.0,0.0
6355,0.0,0.0,0.0,-0.26566152283616207,0.0,0.0,0.0,-0.5630707782313689,1.0,0.0,0.0
1286,0.0,0.0,0.0,-0.2994830134065036,0.0,0.0,0.0,-0.2331633994255147,1.0,0.0,0.0
5359,0.0,0.0,0.0,-0.2901107547190312,0.0,0.0,0.0,-0.2949396412072761,1.0,0.0,0.0
1902,0.0,0.0,0.0,-0.13199786506506672,0.0,0.0,0.0,-0.16822369222497643,1.0,0.0,0.0
5926,0.0,0.0,0.0,-0.2935863171192674,0.0,0.0,0.0,0.2222596503808543,1.0,0.0,1.0
3459,0.0,0.0,0.0,-0.2574709052685331,0.0,0.0,0.0,-0.12171442115226981,1.0,0.0,0.0
4385,0.0,0.0,1.0,-0.30777119704334777,0.0,0.0,0.0,-0.31933912556793387,1.0,0.0,0.0
6000,0.0,0.0,0.0,-0.18585574132690164,0.0,0.0,0.0,0.07218888976542448,1.0,0.0,0.0
422,0.0,0.0,1.0,-0.30578290260226865,0.0,0.0,0.0,-0.2470012531227114,1.0,0.0,0.0
1483,0.0,0.0,0.0,-0.2997419264997256,0.0,0.0,0.0,-0.2566561802957251,1.0,0.0,0.0
2197,0.0,0.0,0.0,-0.3097911939890318,0.0,0.0,0.0,-0.2393342228419316,0.0,0.0,0.0
1735,0.0,0.0,0.0,-0.26254836890584154,0.0,0.0,0.0,-0.22628062701256618,1.0,0.0,0.0
887,0.0,0.0,0.0,0.1051744340696192,0.0,0.0,0.0,-0.30075639117461844,1.0,0.0,0.0
3267,0.0,0.0,0.0,-0.18965543920262196,0.0,0.0,0.0,-0.12466835360576983,1.0,0.0,0.0
957,0.0,0.0,0.0,-0.30226781148551,0.0,0.0,0.0,0.11729019214761116,0.0,1.0,0.0
454,0.0,0.0,0.0,-0.3037293857789275,0.0,0.0,0.0,-0.041869174811800546,1.0,0.0,0.0
6596,0.0,0.0,0.0,-0.3098387465610544,0.0,0.0,0.0,-0.29774423814214845,1.0,0.0,0.0
3892,0.0,1.0,0.0,-0.2852427932792918,0.0,0.0,0.0,-0.22412386545765312,1.0,0.0,0.0
6381,0.0,0.0,0.0,-0.26178862649339546,0.0,0.0,0.0,-0.3081282408621872,1.0,0.0,0.0
786,0.0,0.0,1.0,-0.2996796687712027,0.0,0.0,0.0,-0.1929562331653548,1.0,0.0,0.0
6462,0.0,0.0,1.0,-0.26167133755943767,0.0,0.0,0.0,-0.22589356574764397,1.0,0.0,0.0
4173,0.0,0.0,0.0,-0.29863126813118046,0.0,0.0,0.0,-0.3206750207226473,1.0,0.0,0.0
3,0.0,0.0,0.0,-0.30936637839861114,0.0,0.0,0.0,-0.00810589504942348,0.0,0.0,0.0
4820,0.0,0.0,0.0,-0.28978661924354715,0.0,0.0,0.0,-0.07627353920807169,1.0,0.0,0.0
2821,0.0,0.0,0.0,-0.013411715497723768,0.0,1.0,0.32,-0.21753789942187687,1.0,0.0,0.0
5511,0.0,0.0,0.0,-0.29271668535577355,0.0,0.0,0.0,-0.2473831229503015,1.0,0.0,0.0
4363,0.0,0.0,1.0,-0.307855195565958,0.0,0.0,0.0,-0.2393342228419316,0.0,0.0,0.0
6652,0.0,0.0,0.0,-0.30927816907947336,0.0,0.0,0.0,0.4665955930729195,1.0,1.0,1.0
3839,0.0,0.0,0.0,0.4612896294382632,0.0,1.0,0.0,-0.03388088802443874,1.0,0.0,0.0
691,0.0,0.0,0.0,-0.30090504201313684,0.0,0.0,0.0,-0.20078205514338043,1.0,0.0,0.0
3910,0.0,0.0,0.0,-0.2725224523023681,0.0,0.0,0.0,-0.1766147166128647,1.0,0.0,0.0
116,0.0,0.0,0.0,-0.30987708912949796,0.0,0.0,0.0,-0.17483983094794212,0.0,0.0,0.0
3940,0.0,0.0,0.0,-0.25511993485336054,0.0,0.0,0.0,-0.1787026755785361,1.0,0.0,0.0
3777,0.0,0.0,0.0,0.8559235826222061,0.0,0.0,0.0,-0.24498909112319658,1.0,0.0,0.0
6508,0.0,0.0,0.0,-0.2824646646432326,0.0,0.0,0.0,-0.23866831220682547,1.0,0.0,0.0
6523,0.0,0.0,0.0,-0.2862241953744059,0.0,0.0,0.0,-0.11967403854177211,1.0,0.0,0.0
4104,0.0,0.0,0.0,-0.30987708941608116,0.0,1.0,0.95,2.484124638954752,1.0,1.0,1.0
4787,0.0,0.0,0.0,2.061845901930778,0.0,0.0,0.0,0.179621346901424,1.0,1.0,1.0
4074,0.0,0.0,0.0,-0.30987708941608116,0.0,0.0,0.0,0.03082412271536946,1.0,0.0,0.0
4601,0.0,0.0,0.0,-0.27325274534012034,0.0,0.0,0.0,-0.10379775461813923,0.0,0.0,0.0
4957,0.0,0.0,0.0,-0.2369960183278183,0.0,0.0,0.0,-0.09708715754944802,1.0,0.0,0.0
2301,0.0,0.0,0.0,-0.3031859553174898,0.0,0.0,0.0,0.015783029051104992,1.0,0.0,0.0
1699,0.0,0.0,1.0,-0.27298790293941994,0.0,0.0,0.0,-0.3052704712577252,1.0,0.0,0.0
4412,0.0,0.0,0.0,-0.3063476691395831,0.0,0.0,0.0,-0.20152735192764415,1.0,0.0,0.0
2776,0.0,0.0,0.0,-0.26408504776065167,0.0,0.0,0.0,-0.13152419977411076,1.0,0.0,0.0
241,0.0,0.0,1.0,-0.30987708941607883,0.0,0.0,0.0,-0.22286131088725233,1.0,0.0,0.0
2155,0.0,0.0,0.0,-0.2851716415895514,1.0,0.0,0.0,0.22126924541088666,1.0,0.0,1.0
1445,0.0,0.0,0.0,0.07552789667778345,0.0,0.0,0.0,0.485851038716789,1.0,0.0,1.0
4795,0.0,0.0,0.0,4.631212475889876,0.0,1.0,0.0,0.07240586981685591,1.0,1.0,0.0
4080,0.0,0.0,0.0,-0.30987708941608116,0.0,0.0,0.0,-0.22852089900988087,1.0,0.0,0.0
1780,0.0,1.0,0.0,-0.25279762275766676,0.0,0.0,0.0,-0.1745096196614449,1.0,0.0,0.0
1724,0.0,0.0,0.0,-0.2651197119156267,0.0,0.0,0.0,-0.155955222136032,1.0,0.0,0.0
2249,0.0,0.0,1.0,-0.3092172503189723,0.0,0.0,0.0,-0.21229476145588436,1.0,0.0,0.0
804,1.0,1.0,0.0,-0.2662433156827773,0.0,0.0,0.0,-0.14900080226735507,1.0,0.0,0.0
5097,0.0,0.0,0.0,-0.30081483468793613,0.0,0.0,0.0,0.07317727739725687,1.0,0.0,0.0
498,0.0,0.0,0.0,-0.2950122167460234,0.0,0.0,0.0,-0.052558463916938074,1.0,1.0,0.0
3133,0.0,0.0,0.0,-0.29079163686113035,0.0,0.0,0.0,0.07586433662665418,0.0,0.0,0.0
1396,0.0,0.0,1.0,-0.3098770076114023,0.0,1.0,0.38,-0.2393342228419316,1.0,0.0,0.0
4401,0.0,0.0,0.0,-0.3066910748643719,0.0,0.0,0.0,-0.23087732685638387,1.0,0.0,0.0
4388,0.0,0.0,0.0,-0.30747720221421204,1.0,0.0,0.0,-0.2883211239443278,1.0,0.0,0.0
717,0.0,0.0,0.0,-0.29943597423384183,0.0,0.0,0.0,-0.3144049912180816,1.0,0.0,0.0
2491,0.0,0.0,0.0,-0.30460499294213905,0.0,0.0,0.0,-0.28071786500153784,1.0,0.0,0.0
169,0.0,0.0,0.0,-0.30987708941608083,0.0,1.0,1.06,0.7303056001159791,1.0,0.0,1.0
5355,0.0,0.0,0.0,-0.28944568406354104,0.0,0.0,0.0,-0.46787977954089777,1.0,0.0,0.0
946,0.0,0.0,0.0,-0.24050419191918554,0.0,0.0,0.0,0.04978639669179592,1.0,0.0,0.0
21,0.0,0.0,0.0,-0.29810741407152236,0.0,0.0,0.0,0.3676718185132636,0.0,0.0,1.0
93,0.0,0.0,1.0,-0.30987708919702683,0.0,0.0,0.0,-0.3435675834786822,0.0,0.0,0.0
3439,0.0,0.0,0.0,-0.2503063253988395,0.0,0.0,0.0,-0.5854656691191741,1.0,0.0,0.0
2586,0.0,0.0,0.0,-0.2815409289769646,0.0,0.0,0.0,-0.674438169681846,1.0,0.0,0.0
3291,0.0,0.0,0.0,0.15142303240088295,0.0,0.0,0.0,-0.020280310661834226,1.0,0.0,0.0
4789,0.0,0.0,0.0,4.631212475889876,0.0,1.0,0.0,0.4148968885306976,1.0,1.0,1.0
2123,0.0,0.0,0.0,-0.2851716415895514,0.0,0.0,0.0,-0.10590199118507106,1.0,0.0,0.0
860,0.0,0.0,0.0,-0.2992568001838276,0.0,0.0,0.0,-0.1840651087644584,1.0,0.0,0.0
3541,0.0,1.0,0.0,-0.11341936829951633,0.0,0.0,0.0,0.1565674083936415,1.0,0.0,0.0
4917,0.0,0.0,0.0,-0.28230580964167395,0.0,0.0,0.0,-0.18142341847248059,1.0,0.0,0.0
755,1.0,1.0,0.0,-0.2995547580269918,0.0,0.0,0.0,-0.29886750766715275,1.0,0.0,0.0
107,0.0,0.0,0.0,-0.3098770891690267,0.0,0.0,0.0,0.048033194204705164,0.0,0.0,0.0
4311,0.0,0.0,0.0,-0.3013478797167905,0.0,0.0,0.0,-0.1461856864450556,1.0,0.0,0.0
137,0.0,0.0,0.0,-0.30987708912042616,0.0,0.0,0.0,0.724625883328436,1.0,0.0,1.0
2227,0.0,0.0,1.0,-0.3097909945414458,0.0,0.0,0.0,-0.26245826251260573,0.0,0.0,0.0
5184,0.0,0.0,0.0,-0.2993730741636755,0.0,0.0,0.0,-0.216962730653704,1.0,0.0,0.0
1508,0.0,0.0,0.0,-0.2925832759375103,0.0,0.0,0.0,0.09694063124457879,1.0,0.0,0.0
4459,0.0,0.0,0.0,-0.29612129370985196,0.0,0.0,0.0,-0.19151550091605204,1.0,0.0,0.0
2063,0.0,0.0,0.0,-0.3055803179300911,0.0,0.0,0.0,-0.16980995789521336,1.0,0.0,0.0
6264,0.0,0.0,1.0,-0.3078403722972621,0.0,0.0,0.0,-0.250430032200038,1.0,0.0,0.0
4085,0.0,0.0,0.0,-0.30987708941608116,0.0,0.0,0.0,-0.19071973060628128,1.0,0.0,0.0
4672,0.0,0.0,0.0,-0.2663955012413887,0.0,0.0,0.0,-0.21931169269546372,1.0,0.0,0.0
2734,0.0,0.0,0.0,-0.2877607725217717,0.0,0.0,0.0,-0.10881821185390299,1.0,0.0,0.0
5707,0.0,0.0,0.0,0.8204900411314842,0.0,0.0,0.0,-0.16782284110987608,1.0,0.0,0.0
2763,1.0,1.0,0.0,-0.30248135589519215,0.0,0.0,0.0,-0.21543518098169487,1.0,0.0,0.0
4120,0.0,0.0,0.0,-0.1988409247045257,0.0,0.0,0.0,-0.14540975003887685,1.0,0.0,0.0
397,0.0,0.0,1.0,-0.30582341953670417,0.0,0.0,0.0,0.01081506634621821,0.0,1.0,0.0
1646,0.0,0.0,0.0,4.588719105628244,0.0,0.0,0.0,-0.04618125844646041,1.0,0.0,0.0
2692,0.0,0.0,0.0,-0.2852497108046832,0.0,1.0,8.68,-0.22158210089317962,1.0,0.0,0.0
3835,1.0,0.0,0.0,0.23385127674722994,0.0,1.0,0.0,-0.05643844653328049,1.0,0.0,0.0
234,0.0,0.0,1.0,-0.3098770894160787,0.0,0.0,0.0,-0.11580627807563369,1.0,0.0,0.0
4243,0.0,0.0,1.0,-0.29874247969823736,0.0,0.0,0.0,-0.19785206515085302,1.0,0.0,0.0
3348,0.0,0.0,0.0,-0.28539893170955544,0.0,0.0,0.0,-0.3500499789942497,0.0,0.0,0.0
6188,0.0,0.0,1.0,-0.3078443251689143,0.0,0.0,0.0,-0.3552791970333732,1.0,0.0,0.0
1524,0.0,0.0,0.0,-0.21115411990126817,0.0,0.0,0.0,0.5581602461989816,1.0,0.0,1.0
1248,0.0,0.0,0.0,-0.2999731694913819,0.0,0.0,0.0,-0.18078025282335036,1.0,0.0,0.0
3063,0.0,0.0,0.0,-0.07784352342931344,0.0,1.0,0.6,-0.261069675813691,1.0,0.0,0.0
1005,0.0,0.0,0.0,-0.29139741444183687,0.0,0.0,0.0,-0.45292496443134045,1.0,0.0,0.0
1962,0.0,0.0,0.0,-0.3079332647810898,0.0,0.0,0.0,-0.11677867943663293,1.0,0.0,0.0
35,0.0,0.0,0.0,-0.2613654720639073,0.0,0.0,0.0,-0.04856089555887055,0.0,0.0,0.0
409,0.0,0.0,1.0,-0.30581749022922583,0.0,0.0,0.0,-0.22846191999043058,0.0,0.0,0.0
500,0.0,0.0,0.0,-0.2983257114085176,0.0,0.0,0.0,-0.09040893263168262,1.0,1.0,0.0
1540,0.0,0.0,0.0,0.12454350516561855,0.0,0.0,0.0,0.32825232701145163,1.0,0.0,1.0
6035,1.0,1.0,0.0,-0.0621308586116405,0.0,0.0,0.0,-0.18870870498082562,1.0,0.0,0.0
6337,0.0,0.0,0.0,-0.30376339284925863,0.0,0.0,0.0,-0.2075386682947548,1.0,0.0,0.0
2753,0.0,0.0,0.0,-0.2992568001838276,0.0,0.0,0.0,-0.21006924757611495,1.0,0.0,0.0
1050,0.0,0.0,0.0,-0.2450756879850066,0.0,0.0,0.0,0.06182072865858648,1.0,1.0,0.0
3606,0.0,0.0,0.0,4.631212475889876,0.0,0.0,0.0,-0.1419218933252499,1.0,0.0,0.0
3783,0.0,0.0,0.0,0.4581658726150767,0.0,0.0,0.0,-0.2452573877934756,1.0,0.0,0.0
1720,0.0,0.0,1.0,-0.27292663342881013,0.0,0.0,0.0,-0.3564160575056437,1.0,0.0,0.0
112,0.0,0.0,0.0,-0.30987708916112094,0.0,0.0,0.0,-0.5875508572654469,0.0,0.0,0.0
1012,0.0,0.0,0.0,-0.2867774956982758,0.0,0.0,0.0,-0.19987883015384397,1.0,0.0,0.0
5772,0.0,0.0,1.0,-0.2727477659865461,0.0,0.0,0.0,-0.06402195851152541,1.0,0.0,0.0
4628,0.0,1.0,1.0,-0.2728238587658518,0.0,0.0,0.0,-0.1649847468913474,0.0,0.0,0.0
